Universal,Model,Model_ID,Code,Description,Work_Type,Labor_Hours,FRT
YES,Model 3,35,70008009,Additional Work Required - Corrosion Present,Maintenance,0.5,0.5
YES,Model 3,35,70020305,Upholstery - Sublet,Sublet,0.0,0.0
YES,Model 3,35,70020805,Glass Repair / Replacement  - Sublet,Sublet,0.0,0.0
YES,Model 3,35,70060005,Thread Repair,Maintenance,0.0,0.0
YES,Model 3,35,7007300,Other – Sublet,Sublet,0.0,0.0
YES,Model 3,35,7100001,NO LABOR PERFORMED,Repair,0.0,0.0
YES,Model 3,35,72000005,Loaner Fee,Fee,0.0,0.0
YES,Model 3,35,91000004,On Site – Education,Customer Education,0.0,0.0
YES,Model 3,35,91020105,Car Wash (Hand Wash),Detail Work,0.25,0.25
YES,Model 3,35,91020115,Car Wash (Mechanical Wash),Maintenance,0.24,0.24
YES,Model 3,35,91022005,Charge Vehicle,Restore,0.0,0.0
YES,Model 3,35,91022407,Vehicle Configuration Update,Program,0.05,0.05
YES,Model 3,35,91029006,Mobile Service Hub Repair,Retrofit,0.0,0.0
YES,Model 3,7,00000010,Remote – Education,Over The Air,0.0,0.0
YES,Model 3,7,00004107,Alert Diagnosis - Repair,General diagnosis conclusion,0.06,0.06
YES,Model 3,7,00004108,Alert Diagnosis (Repair) - Create New Service Activity for Repair,Test/Adjust,0.06,0.06
YES,Model 3,7,00005914,Service Collision Estimate,Inspection,0.0,0.0
YES,Model 3,7,00020003,Software Update,Over The Air,0.06,0.06
YES,Model 3,7,00020007,Firmware Update - Garage,Update,0.05,0.05
YES,Model 3,7,00020010,Remote – Known Characteristic of Current Firmware,Over The Air,0.25,0.25
YES,Model 3,7,00020020,Remote – Over the Air Update,Over The Air,0.25,0.25
YES,Model 3,7,00022008,User Data (Factory Reset),Restore,0.05,0.05
YES,Model 3,7,00023003,Clear Filesystem Caches,Module Reset/Reflashed,0.05,0.05
YES,Model 3,7,00030100,PDI (Without Test Drive),Inspection,0.12,0.12
YES,Model 3,7,00030410,Vehicle Health Check,Inspection,1.62,1.62
YES,Model 3,7,00032201,Loaner Registration Confirmation,Inspection,0.2,0.2
YES,Model 3,7,00040100,Perform Post-Repair Validation Test Drive,Test/Adjust,0.3,0.3
YES,Model 3,7,00100004,General Diagnosis,General Diagnosis,0.5,0.5
YES,Model 3,7,00100014,Diagnosis: Unable to Replicate Concern,General diagnosis conclusion,0.0,0.0
YES,Model 3,7,00100024,Remote Diagnosis,Remote Diagnostics,0.3,0.3
YES,Model 3,7,10000004,Adjustment: Body / Closure Components,Test/Adjust,0.4,0.4
YES,Model 3,7,10010008,Tesla Body Repair - Miscellaneous Labor,Body Shop,0.0,0.0
YES,Model 3,7,10010011,Tesla Body Repair - Structural,Body Shop,0.0,0.0
YES,Model 3,7,10010012,Tesla Body Structural - Sheet Metal Quotation,Test/Adjust,0.6,0.6
YES,Model 3,7,10010014,Tesla Body Structural - Sheet Metal Repair,Restore,1.0,1.0
YES,Model 3,7,10010015,Tesla Body Structural - Reassemble Parts,Test/Adjust,1.0,1.0
YES,Model 3,7,10100008,Tesla Body Repair - Mechanical Labor,Body Shop,0.0,0.0
YES,Model 3,7,10108608,Tesla Body Repair - Body Labor,Body Shop,0.0,0.0
YES,Model 3,7,10108808,Tesla Body Repair - Sublet,Body Shop,0.0,0.0
YES,Model 3,7,10109008,Structural Body Repair,Repair,0.0,0.0
YES,Model 3,7,10109108,Non-Structural Body Repair,Restore,0.0,0.0
YES,Model 3,7,10182019,Customer Generated Quote - Issue (Transaction) Resolved - Bound,General diagnosis conclusion,0.0,0.0
YES,Model 3,7,1027521,Assistance with Refund of Reservation,Test/Adjust,0.0,0.0
YES,Model 3,7,11700004,Adjustment: Seal,Test/Adjust,0.2,0.2
YES,Model 3,7,12000004,Adjustment: Exterior Trim,Test/Adjust,0.2,0.2
YES,Model 3,7,12208583,Mud Flaps (PDI Retrofit),Retrofit,0.0,0.0
YES,Model 3,7,12302302,Ball Neck - Trailer Hitch (Remove and Replace),Remove and Replace,0.12,0.12
YES,Model 3,7,13000004,Diagnosis: Seats,Test/Adjust,0.5,0.5
YES,Model 3,7,14050002,USB Drive,Remove and Replace,0.06,0.06
YES,Model 3,7,15130004,Diagnosis: Closures,General Diagnosis,0.65,0.65
YES,Model 3,7,16010201,HV Battery (AWD),Remove and Install,3.6,3.6
YES,Model 3,7,16010202,HV Battery (AWD),Remove and Replace,5.4,5.4
YES,Model 3,7,16015300,Discharge HV Battery (At Pack Contactors),Test/Adjust,0.96,0.96
YES,Model 3,7,16102100,HV Battery Air Leak Test,Test/Adjust,0.6,0.6
YES,Model 3,7,16300100,Resistance Meter (Zero Adjust),Test/Adjust,0.05,0.05
YES,Model 3,7,17000004,Diagnosis: Driver Assistance,General Diagnosis,0.5,0.5
YES,Model 3,7,17000008,Jumpstart Vehicle (Restore),Restore,0.06,0.06
YES,Model 3,7,17010000,Vehicle HV Disablement Procedure,Test/Adjust,0.3,0.3
YES,Model 3,7,17100008,Harness Connector - Reconnect,Restore,0.1,0.1
YES,Model 3,7,17105006,Wire - Electrical Harness (Overlay),Retrofit,0.0,0.0
YES,Model 3,7,17108100,Diagnosis: Low Voltage Distribution and Controllers,General Diagnosis,1.0,1.0
YES,Model 3,7,17400150,Headlights - Adjust - NA (Tool Method),Test/Adjust,0.18,0.18
YES,Model 3,7,18300900,Thermal System Test,Test/Adjust,0.1,0.1
YES,Model 3,7,18301000,Clean Radiator (Heat Pump),Maintenance,0.9,0.9
YES,Model 3,7,19010100825,Remove Vehicle Label (No Anti-Tamper Residue),Removal,0.06,0.06
YES,Model 3,7,19010100902,Vehicle Emission Control Label,Remove and Replace,0.06,0.06
YES,Model 3,7,19010100925,Remove Vehicle Label and Anti-Tamper Residue,Removal,0.12,0.12
YES,Model 3,7,19010101002,Battery Chemistry Label,Remove and Replace,0.06,0.06
YES,Model 3,7,19010101102,Monroney Label,Remove and Replace,0.06,0.06
YES,Model 3,7,19010202,Labels - Any (Remove & Replace),Remove and Replace,0.24,0.24
YES,Model 3,7,21051000,Update Display Avatar,Test/Adjust,0.12,0.12
YES,Model 3,7,31002300,Four Wheel Alignment Check and Adjust,Test/Adjust,0.9,0.9
YES,Model 3,7,31039000,Suspension - Rear (Check Torque),Test/Adjust,0.36,0.36
YES,Model 3,7,34010105,Tire Rotation,Maintenance,0.3,0.3
YES,Model 3,7,34011302,Lug Nuts - Vehicle Set (Remove & Replace),Remove and Replace,0.36,0.36
YES,Model 3,7,34012902,Wheels - Vehicle - Set (Remove and Replace),Remove and Replace,1.56,1.56
YES,Model 3,7,34014005,Seasonal Wheel and Tire Set Swap (Already Built),Seasonal Swap,0.5,0.5
YES,Model 3,7,34014101,Tire Set - Vehicle - Swap (Not Already Built),Remove and Install,1.38,1.38
YES,Model 3,7,34015032,Cap - Wheel - Set (Remove & Replace),Remove and Replace,0.05,0.05
YES,Model 3,7,34015202,Wheel - Rear - LH (Remove & Replace),Remove and Replace,0.36,0.36
YES,Model 3,7,34015222,Cover - Wheel - Rear - LH (Remove & Replace),Remove and Replace,0.06,0.06
YES,Model 3,7,34015302,Wheel - Rear - RH (Remove & Replace),Remove and Replace,0.36,0.36
YES,Model 3,7,34015322,Cover - Wheel - Rear - RH (Remove & Replace),Remove and Replace,0.06,0.06
YES,Model 3,7,34020010,Mobile Tire Service Performed,Modify,0.0,0.0
YES,Model 3,7,34020030,Mobile Tire Service Performed – Logistics,Tire Repair,0.0,0.0
YES,Model 3,7,34020305,Tires - All Four (Balance),Rebalance,0.6,0.6
YES,Model 3,7,34020900,Check and Adjust Tire Pressure,Test/Adjust,0.05,0.05
YES,Model 3,7,34021202,Tire - Rear - LH (Remove & Replace),Tire Purchase,0.35,0.35
YES,Model 3,7,34021302,Tire - Rear - RH (Remove & Replace),Tire Purchase,0.35,0.35
YES,Model 3,7,34021605,Tires - Rear - Set,Tire Purchase,0.7,0.7
YES,Model 3,7,34021805,Tires - Vehicle - Set,Tire Purchase,1.15,1.15
YES,Model 3,7,34022015,Tire - Supplemental (Rebalance),Maintenance,0.18,0.18
YES,Model 3,7,34022205,Tire - Rear - LH (Road Force) (Balance),Tire Repair,0.2,0.2
YES,Model 3,7,34022225,Tire - Rear - LH (Balance),Rebalance,0.2,0.2
YES,Model 3,7,34022305,Tire - Rear - RH (Road Force) (Balance),Tire Repair,0.2,0.2
YES,Model 3,7,34022325,Tire - Rear - RH (Balance),Rebalance,0.2,0.2
YES,Model 3,7,34023208,Tire - Rear - LH (Repair),Tire Repair,0.72,0.72
YES,Model 3,7,34023308,Tire - Rear - RH (Repair),Tire Repair,0.72,0.72
YES,Model 3,7,44000204,HVIL Diagnostics,Diagnosis Only,1.0,1.0
YES,Model 3,7,44013205,Charge Port - Manual Release of Cable,Maintenance,0.18,0.18
YES,Model 3,7,46010100004,Diagnosis: Coolant Leak,General Diagnosis,0.5,0.5
YES,Model 3,7,50010003,Firmware Update - Mobile Connector,Module Reset/Reflashed,0.1,0.1
YES,Model 3,7,50010102,Mobile Connector - UMC (Remove & Replace),Remove and Replace,0.0,0.0
YES,Model 3,7,50022002,Handle and Cable Assembly - 80A Wall Connector (Remove & Replace),Remove and Replace,0.48,0.48
YES,Model 3,7,50024002,Handle and Cable Assembly - 40A Wall Connector (Remove & Replace),Remove and Replace,0.48,0.48
YES,Model 3,7,61013108,Equip Tire Repair Kit,General diagnosis conclusion,0.0,0.0
YES,Model 3,7,7000005,Mobile Tire Dispatch Fee,Fee,0.01,0.01
YES,Model 3,7,70000105,Third Party Transport,Sublet,1.2,1.2
YES,Model 3,7,7000030,Parts Not Available - Add to future service visit. ,General diagnosis conclusion,0.0,0.0
YES,Model 3,7,70000305,Miscellaneous Labor,Fee,0.0,0.0
YES,Model 3,7,70002005,Non-Tesla (Rental),Sublet,0.0,0.0
YES,Model 3,7,70003805,Tesla Airport Service,Fee,1.2,1.2
YES,Model 3,7,7000405,Vehicle Storage,Fee,0.0,0.0
YES,Model 3,7,70004205,No Labor Performed - Unable to Perform via Mobile Service,General diagnosis conclusion,0.0,0.0
YES,Model 3,7,70004505,No Labor Performed - Part Replaced,Repair,0.0,0.0
YES,Model 3,7,70005700,Scrap Part Sale Over the Counter,Test/Adjust,0.0,0.0
YES,Model 3,7,70005805,Payment Collection Required,Fee,1.2,1.2
YES,Model 3,7,70008009,Additional Work Required - Corrosion Present,Maintenance,0.5,0.5
YES,Model 3,7,70020305,Upholstery - Sublet,Sublet,0.0,0.0
YES,Model 3,7,70020805,Glass Repair / Replacement  - Sublet,Sublet,0.0,0.0
YES,Model 3,7,70060005,Thread Repair,Maintenance,0.0,0.0
YES,Model 3,7,7007300,Other – Sublet,Sublet,0.0,0.0
YES,Model 3,7,7100001,NO LABOR PERFORMED,Repair,0.0,0.0
YES,Model 3,7,72000005,Loaner Fee,Fee,0.0,0.0
YES,Model 3,7,91000004,On Site – Education,Customer Education,0.0,0.0
YES,Model 3,7,91020105,Car Wash (Hand Wash),Detail Work,0.25,0.25
YES,Model 3,7,91020115,Car Wash (Mechanical Wash),Maintenance,0.24,0.24
YES,Model 3,7,91022005,Charge Vehicle,Restore,0.0,0.0
YES,Model 3,7,91022407,Vehicle Configuration Update,Program,0.05,0.05
YES,Model 3,7,91029006,Mobile Service Hub Repair,Retrofit,0.0,0.0
YES,Model S,1,00000010,Remote – Education,Over The Air,0.0,0.0
YES,Model S,1,00004107,Alert Diagnosis - Repair,General diagnosis conclusion,0.06,0.06
YES,Model S,1,00004108,Alert Diagnosis (Repair) - Create New Service Activity for Repair,Test/Adjust,0.06,0.06
YES,Model S,1,00005914,Service Collision Estimate,Inspection,0.0,0.0
YES,Model S,1,00020003,Firmware Update,Over The Air,0.06,0.06
YES,Model S,1,00020007,Firmware Update - Garage,Update,0.05,0.05
YES,Model S,1,00020010,Remote – Known Characteristic of Current Firmware,Over The Air,0.25,0.25
YES,Model S,1,00020020,Remote – Over the Air Update,Over The Air,0.25,0.25
YES,Model S,1,00022008,User Data (Factory Reset),Restore,0.05,0.05
YES,Model S,1,00023003,Clear Filesystem Caches,Module Reset/Reflashed,0.05,0.05
YES,Model S,1,00030100,PDI (Without Test Drive),Inspection,0.0,0.0
YES,Model S,1,00030410,Vehicle Health Check,Inspection,1.5,1.5
YES,Model S,1,00032201,Loaner Registration Confirmation,Inspection,0.2,0.2
YES,Model S,1,00040100,Perform Post-Repair Validation Test Drive,Test/Adjust,0.3,0.3
YES,Model S,1,00100004,General Diagnosis,General Diagnosis,0.5,0.5
YES,Model S,1,00100014,Diagnosis: Unable to Replicate Concern,General diagnosis conclusion,0.0,0.0
YES,Model S,1,00100024,Remote Diagnosis,Remote Diagnostics,0.3,0.3
YES,Model S,1,10000004,Adjustment: Body / Closure Components,Test/Adjust,0.4,0.4
YES,Model S,1,10010008,Tesla Body Repair - Miscellaneous Labor,Body Shop,0.0,0.0
YES,Model S,1,10010011,Tesla Body Repair - Structural,Body Shop,0.0,0.0
YES,Model S,1,10010012,Tesla Body Structural - Sheet Metal Quotation,Test/Adjust,0.6,0.6
YES,Model S,1,10010014,Tesla Body Structural - Sheet Metal Repair,Restore,1.0,1.0
YES,Model S,1,10010015,Tesla Body Structural - Reassemble Parts,Test/Adjust,1.0,1.0
YES,Model S,1,10100008,Tesla Body Repair - Mechanical Labor,Body Shop,0.0,0.0
YES,Model S,1,10108608,Tesla Body Repair - Body Labor,Body Shop,0.0,0.0
YES,Model S,1,10108808,Tesla Body Repair - Sublet,Body Shop,0.0,0.0
YES,Model S,1,10109008,Structural Body Repair,Repair,0.0,0.0
YES,Model S,1,10109108,Non-Structural Body Repair,Restore,0.0,0.0
YES,Model S,1,10182019,Customer Generated Quote - Issue (Transaction) Resolved - Bound,General diagnosis conclusion,0.0,0.0
YES,Model S,1,1027521,Assistance with Refund of Reservation,Test/Adjust,0.0,0.0
YES,Model S,1,11700004,Adjustment: Seal,Test/Adjust,0.2,0.2
YES,Model S,1,12000004,Adjustment: Exterior Trim,Test/Adjust,0.2,0.2
YES,Model S,1,12208583,Mud Flaps (PDI Retrofit),Retrofit,0.0,0.0
YES,Model S,1,12302302,Ball Neck - Trailer Hitch (Remove & Replace),Remove and Replace,0.12,0.12
YES,Model S,1,13000004,Diagnosis: Seats,Test/Adjust,0.5,0.5
YES,Model S,1,14050002,USB Drive,Remove and Replace,0.06,0.06
YES,Model S,1,15130004,Diagnosis: Closures,General Diagnosis,0.65,0.65
YES,Model S,1,16010201,HV Battery (AWD),Remove and Install,1.5,1.5
YES,Model S,1,16010202,HV Battery (AWD),Remove and Replace,2.28,2.28
YES,Model S,1,16015300,Discharge HV Battery (At Pack Contactors),Test/Adjust,0.96,0.96
YES,Model S,1,16102100,HV Battery Air Leak Test,Test/Adjust,0.66,0.66
YES,Model S,1,16300100,Resistance Meter (Zero Adjust),Test/Adjust,0.05,0.05
YES,Model S,1,17000004,Diagnosis: Driver Assistance,General Diagnosis,0.5,0.5
YES,Model S,1,17000008,Jumpstart Vehicle (Restore),Restore,0.12,0.12
YES,Model S,1,17010000,Vehicle HV Disablement Procedure,Test/Adjust,0.54,0.54
YES,Model S,1,17100008,Harness Connector - Reconnect,Restore,0.1,0.1
YES,Model S,1,17105006,Wire - Electrical Harness (Overlay),Retrofit,0.0,0.0
YES,Model S,1,17108100,Diagnosis: Low Voltage Distribution and Controllers,General Diagnosis,1.0,1.0
YES,Model S,1,17400150,Headlights - Adjust - NA (Tool Method),Test/Adjust,0.18,0.18
YES,Model S,1,18300900,Thermal System Test,Test/Adjust,0.1,0.1
YES,Model S,1,19010100825,Remove Vehicle Label (No Anti-Tamper Residue),Removal,0.06,0.06
YES,Model S,1,19010100902,Vehicle Emission Control Label,Remove and Replace,0.06,0.06
YES,Model S,1,19010100925,Remove Vehicle Label and Anti-Tamper Residue,Removal,0.12,0.12
YES,Model S,1,19010101002,Battery Chemistry Label,Remove and Replace,0.06,0.06
YES,Model S,1,19010101102,Monroney Label,Remove and Replace,0.06,0.06
YES,Model S,1,19010202,Labels - Any (Remove & Replace),Remove and Replace,0.24,0.24
YES,Model S,1,21051000,Update Display Avatar,Test/Adjust,0.12,0.12
YES,Model S,1,31002300,Four Wheel Alignment Check and Adjust,Test/Adjust,1.32,1.32
YES,Model S,1,31039000,Suspension - Rear - Check Torque,Test/Adjust,0.84,0.84
YES,Model S,1,34010105,Tire Rotation,Maintenance,0.3,0.3
YES,Model S,1,34011302,Lug Nuts - Vehicle Set (Remove & Replace),Remove and Replace,0.36,0.36
YES,Model S,1,34012902,Wheels - Set (Remove and Replace),Remove and Replace,1.56,1.56
YES,Model S,1,34014005,Seasonal Wheel and Tire Set Swap (Already Built),Seasonal Swap,0.5,0.5
YES,Model S,1,34014101,Tire Set - Vehicle - Swap (Not Already Built),Remove and Install,1.38,1.38
YES,Model S,1,34015032,Cap - Wheel - Set (Remove & Replace),Remove and Replace,0.05,0.05
YES,Model S,1,34015202,Wheel - Rear - LH (Remove & Replace),Remove and Replace,0.36,0.36
YES,Model S,1,34015222,Cap - Wheel - Rear - LH (Remove & Replace),Remove and Replace,0.06,0.06
YES,Model S,1,34015302,Wheel - Rear - RH (Remove & Replace),Remove and Replace,0.36,0.36
YES,Model S,1,34015322,Cap - Wheel - Rear - RH (Remove & Replace),Remove and Replace,0.06,0.06
YES,Model S,1,34020010,Mobile Tire Service Performed,Modify,0.0,0.0
YES,Model S,1,34020030,Mobile Tire Service Performed – Logistics,Tire Repair,0.0,0.0
YES,Model S,1,34020305,Tires - All Four (Balance),Rebalance,0.6,0.6
YES,Model S,1,34020900,Check and Adjust Tire Pressure,Test/Adjust,0.05,0.05
YES,Model S,1,34021202,Tire - Rear - LH (Remove & Replace),Tire Purchase,0.35,0.35
YES,Model S,1,34021302,Tire - Rear - RH (Remove & Replace),Tire Purchase,0.35,0.35
YES,Model S,1,34021605,Tires - Rear - Set,Tire Purchase,0.7,0.7
YES,Model S,1,34021805,Tires - Vehicle - Set,Tire Purchase,1.15,1.15
YES,Model S,1,34022015,Tire - Supplemental (Rebalance),Maintenance,0.18,0.18
YES,Model S,1,34022205,Tire - Rear - LH (Road Force) (Balance),Tire Repair,0.2,0.2
YES,Model S,1,34022225,Tire - Rear - LH (Balance),Rebalance,0.2,0.2
YES,Model S,1,34022305,Tire - Rear - RH (Road Force) (Balance),Tire Repair,0.2,0.2
YES,Model S,1,34022325,Tire - Rear - RH (Balance),Rebalance,0.2,0.2
YES,Model S,1,34023208,Tire - Rear - LH (Repair),Tire Repair,0.72,0.72
